Reportnumber,NonMotoristID,NonMotoristActions,NonMotoristAlcoholTestindicator,NonMotoristAlcoholTestType,NonMotoristBAC,NonMotoristCondition,NonMotoristDOB,NonMotoristDrugTestIndicator,NonMotoristDrugTestResult,NonMotoristInjurySeverity,NonMotoristLocation,NonMotoristMovement,NonMotoristObeyTrafficSignal,NonMotoristSafetyEquipment,NonMotoristSex,NonMotoristSubstanceUse,NonMotoristType,NonMotoristUnitNumberFirstStrike,NonMotoristVisibility
ADH99100DV,b3b96c03-1f23-4dba-acbd-296ab90d4961,Failure to Yield Right of Way,N/A,,,Unknown,10/7/1952,N/A,,Fatal Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,N/A,M,N/A,Pedestrian,1,Mixed Clothing
ADI89800CH,a4c48dde-c7d5-49cf-8508-fed4c2e8ebcf,No Improper Actions,Other,Blood,0,Apparently Normal,7/12/1962,Other,Negative,Fatal Injury,Other,Other,No Pedestrian Signal,None,F,None Detected,Pedestrian,1,Mixed Clothing
MDTA0700000J,3f7a46b5-44b4-42b4-a976-968c9c9cd7b3,In Roadway Improperly,N/A,,,Unknown,10/5/1985,N/A,,Fatal Injury,Other,Unknown,No Pedestrian Signal,None,M,Unknown,Pedestrian,1,N/A
MDTA1288001Q,7dfd3031-eea0-40ce-b444-73333b359893,Disabled Vehicle Related,N/A,,,Apparently Normal,12/23/1971,N/A,,No Apparent Injury,Shoulder,Push/Work on Vehicle,N/A,None,M,None Detected,Pedestrian,1,N/A
MDTA08540011,0beb08e7-f0e0-42d7-9960-5a55b4f4ac54,Unknown,Other,,,Unknown,5/22/1987,Other,,Fatal Injury,On Roadway Not at Crosswalk,Other,N/A,None,F,Unknown,Pedestrian,,Light Clothing
ADG44500BP,1927a2d3-0d5c-4002-b817-51679d90c5c9,Unknown,Unknown,,,Unknown,1/7/1986,Unknown,,Fatal Injury,Outside Right of Way,Unknown,No Pedestrian Signal,N/A,F,Unknown,Pedestrian,1,Mixed Clothing
MDTA1037001J,eaaf1d98-74c3-425a-8f65-56aae482fb19,In Roadway Improperly,N/A,,,,8/8/1960,N/A,,Fatal Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,N/A,N/A,F,Medication Present,Pedestrian,1,Mixed Clothing
ADH99100DQ,bf642601-f48a-4ab7-9f03-06f815bb435e,In Roadway Improperly,Evidence Test Given,Blood,0.19,Had Been Drinking,1/19/1990,N/A,,Fatal Injury,Outside Right of Way,Other,N/A,None,M,None Detected,Pedestrian,1,Mixed Clothing
MDTA1349001C,c53534d4-072f-4dcf-a5ac-25c8f9e6d993,In Roadway Improperly,Evidence Test Given,Other,0,Using Drugs,9/4/1966,Other,Positive,Fatal Injury,On Roadway Not at Crosswalk,Walking/Riding Against Traffic,No Pedestrian Signal,None,M,Combined Substance Present,Pedestrian,1,Dark Clothing
ADI309003B,f076affb-1f91-4e83-ae39-a98d2b1b7aeb,In Roadway Improperly,N/A,,,Unknown,10/18/1988,N/A,,Fatal Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,Unknown,N/A,M,N/A,Pedestrian,1,Dark Clothing
ADF81900C1,34abf9c6-042d-414e-b2d4-c64fa6d89aaa,In Roadway Improperly,Other,Blood,0,Using Drugs,5/3/1964,Other,Positive,Fatal Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,N/A,N/A,F,Illegal Drug Present,Pedestrian,1,Mixed Clothing
ADG44500BX,6b07e4fe-d6be-4abc-ad3a-2ac7960ace32,Failure to Yield Right of Way,Other,Blood,0.08,Unknown,10/11/1971,N/A,N/A,Fatal Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Disobeyed Pedestrian Signal,None,M,N/A,Pedestrian,1,Mixed Clothing
ADK5320024,896c1046-9a41-4a1d-9d13-55d3c7108fc4,Unknown,N/A,,,N/A,4/21/2003,N/A,,Fatal Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,N/A,None,M,N/A,Pedestrian,1,Dark Clothing
ADH99100D9,cadcc375-4270-4251-b9eb-882fab2a3fa0,Failure to Obey Traffic Signs Signals or Officer,Evidence Test Given,Blood,0,Using Drugs,2/6/1983,Evidence Test Given,Positive,Fatal Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Disobeyed Pedestrian Signal,N/A,M,Illegal Drug Present,Pedestrian,1,Mixed Clothing
ADJ751003D,8e9e9f9c-cd2c-40f1-b552-28d8bf77949d,Failure to Obey Traffic Signs Signals or Officer,N/A,,,Using Drugs,9/23/1964,Other,Positive,Fatal Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Disobeyed Pedestrian Signal,None,M,N/A,Pedestrian,1,Dark Clothing
ADH99100DL,322b472a-89b0-4023-918a-5d43bfa70aee,No Improper Actions,Evidence Test Given,Blood,0,Apparently Normal,8/3/1959,Evidence Test Given,Negative,Fatal Injury,Sidewalk,Standing,N/A,N/A,F,None Detected,Pedestrian,1,Mixed Clothing
ADJ866001C,a6ced9bf-4f22-441c-8ee1-f057c930916f,Wrong Way Riding or Walking,N/A,,,,1/10/2000,N/A,,Suspected Minor Injury,In Bikeway,Walking/Riding Against Traffic,N/A,None,M,N/A,Other Conveyance,,N/A
ADJ2230096,9cce552d-bd76-4c08-8a5e-d268995c805a,Dart Dash,N/A,,,N/A,1/1/2019,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,N/A,N/A,M,N/A,Pedestrian,1,N/A
ADK0650017,207a7ae8-6225-4a1f-8737-49fb2ddf09fa,N/A,N/A,,,,8/2/2006,N/A,,Suspected Minor Injury,At Intersection But No Crosswalk,Cross/Enter Not at Intersection,N/A,None,M,N/A,Bicyclist,,N/A
ADJ866001W,d3dd6202-d4bd-4af5-8275-8d9b9755f3b2,In Roadway Improperly,N/A,,,,7/27/1951,N/A,,Suspected Serious Injury,Outside Right of Way,Cross/Enter Not at Intersection,Other,None,M,N/A,Pedestrian,,N/A
ADJ977005J,9a07f049-7d2a-4ec2-8ddd-2e3bd5f10943,Failure to Yield Right of Way,N/A,,,,6/22/2005,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,N/A,Unknown,F,N/A,Bicyclist,,Light Clothing
ADK6720009,80cea12b-f136-4d0a-b4e7-746182de262b,No Improper Actions,N/A,,,Apparently Normal,2/25/1979,N/A,,Possible Injury,Other,Standing,No Pedestrian Signal,N/A,M,N/A,Pedestrian,1,N/A
ADK571001T,0aa5a7b3-5238-4e7f-824a-889dd2e9b8a4,In Roadway Improperly,N/A,,,Apparently Normal,1/5/1997,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,N/A,None,M,None Detected,Other,1,Dark Clothing
ADK314000Y,3e90efdb-ac69-4701-8e26-47de859649e4,Unknown,N/A,,,Apparently Normal,8/13/1991,N/A,,Possible Injury,Unknown,Unknown,Unknown,N/A,F,N/A,Pedestrian,1,Unknown
ADK407001R,d39fd68c-4cb8-4dae-9a88-910d08786e02,N/A,N/A,,,Apparently Normal,7/25/1977,N/A,,Possible Injury,On Roadway At Crosswalk,N/A,No Pedestrian Signal,N/A,F,N/A,Pedestrian,1,Mixed Clothing
ADK451000M,16773b54-d0f6-41d9-b2cd-1ef2e8c8781a,Inattentive,N/A,,,Other Handicap,5/12/1945,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,M,Unknown,Pedestrian,,Light Clothing
ADF736005C,e94e9ecc-0889-46ac-b621-926729618ae0,Dart Dash,N/A,,,Apparently Normal,4/30/2009,N/A,,Suspected Minor Injury,Other,Playing,N/A,N/A,M,N/A,Bicyclist,,Dark Clothing
ADK407003H,d6ec2274-359d-467d-98ec-7f7ac0e49921,Unknown,N/A,,,Apparently Normal,6/17/1997,N/A,,Possible Injury,Unknown,Cross/Enter at Intersection,N/A,N/A,F,N/A,Pedestrian,1,Light Clothing
ADK716000W,cb588b2e-e004-431d-9ee2-2d7f88c371da,No Improper Actions,N/A,,,,2/7/1990,N/A,,Possible Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,N/A,None,M,N/A,Bicyclist,,Mixed Clothing
ADK163003S,b8f030e7-4021-4ac4-930f-84c2aceabde6,No Improper Actions,N/A,,,,7/12/1949,N/A,,No Apparent Injury,Inside Building,N/A,N/A,N/A,F,N/A,Other,,N/A
DGSP02660001,14c2a8da-3644-48fe-a4ec-3fa6aa949bd4,Unknown,N/A,,,Apparently Normal,10/10/1988,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Unknown,N/A,F,None Detected,Pedestrian,1,Dark Clothing
ADK4120010,d0693c60-588b-4daa-8959-2c1b39c2e913,No Improper Actions,N/A,,,,4/12/1999,N/A,,Suspected Minor Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,N/A,F,N/A,Pedestrian,,Dark Clothing
ADJ302008Z,8ad4be5e-e26b-4d20-b7a6-3bf5e76a6a1e,Unknown,N/A,,,,11/2/2004,N/A,,Suspected Serious Injury,N/A,Unknown,No Pedestrian Signal,Lighting,M,N/A,Pedestrian,,Light Clothing
ADK401000S,3a9786b0-c223-4757-b469-782f4792e983,Inattentive,N/A,,,Physical Defects,11/12/2009,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Playing,No Pedestrian Signal,N/A,F,N/A,Pedestrian,1,Dark Clothing
ADK5710013,ad4c730f-b048-402d-9bf1-85f4e098ba82,Unknown,N/A,,,Apparently Normal,8/30/1982,N/A,,Suspected Minor Injury,Shoulder,Walking/Riding With Traffic,Unknown,Unknown,M,None Detected,Bicyclist,1,Dark Clothing
ADK605000J,1e24b585-a1ac-4c65-aa82-234923bc275d,In Roadway Improperly,N/A,,,Apparently Normal,6/13/2004,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Walking/Riding Against Traffic,No Pedestrian Signal,None,F,N/A,Other Pedalcyclist,,Mixed Clothing
ADJ3020097,50c03636-cf55-4838-bc7a-798857891e25,Unknown,N/A,,,,4/14/1966,N/A,,Suspected Serious Injury,N/A,Cross/Enter Not at Intersection,N/A,N/A,F,None Detected,Pedestrian,1,Dark Clothing
ADH161004X,e9d0d349-7a97-4ce4-a8e8-7e090d9be233,Dart Dash,N/A,,,Apparently Normal,2/11/1968,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Other,Other,None,M,N/A,Pedestrian,1,Dark Clothing
ADK600001Q,fa1d619b-2df7-4daf-95d4-2dccd5e43ab6,Not Visible,N/A,,,Using Drugs,2/7/1985,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Other,N/A,N/A,M,Illegal Drug Contributed,Pedestrian,1,Dark Clothing
ADK6670010,2a0c9ccc-9320-40d5-a2c9-b872833c3232,No Improper Actions,N/A,,,Other,1/15/2011,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,F,N/A,Pedestrian,1,Mixed Clothing
ADG4930061,8b701308-70a1-4341-9fd7-ea823ab284ba,Unknown,N/A,,,,8/4/1988,N/A,,Suspected Minor Injury,Shoulder,Walking/Riding With Traffic,No Pedestrian Signal,N/A,M,N/A,Pedestrian,1,Mixed Clothing
ADK3430016,f91355c2-f727-42db-b514-b14b6386a7b4,No Improper Actions,N/A,,,Apparently Normal,8/31/1989,N/A,,Possible Injury,Inside Building,Other,N/A,N/A,F,N/A,Pedestrian,,N/A
ADH173004V,16f843fb-6f5c-425a-82d4-87d9e8192aea,Other,N/A,,,Apparently Normal,11/27/2003,N/A,,Possible Injury,Other,Other,No Pedestrian Signal,None,F,None Detected,Pedestrian,,Light Clothing
ADK622000T,65ac81a7-6dc0-4d58-a7be-cfff68466607,No Improper Actions,N/A,,,Apparently Normal,6/19/1990,N/A,,Suspected Minor Injury,In Bikeway,Walking/Riding With Traffic,Obeyed Pedestrian Signal,Helmet,M,N/A,Bicyclist,1,Dark Clothing
ADK577000B,28fe8930-683e-44cf-ad1b-7f510aa3c6b5,Unknown,N/A,,,N/A,3/7/2015,N/A,,Suspected Serious Injury,Other,Playing,N/A,None,M,N/A,Pedestrian,,Unknown
ADK612000J,7b03d9d2-4179-47f1-98d1-e4a332aecf8a,No Improper Actions,N/A,,,,9/23/1979,N/A,,Possible Injury,In Bikeway,Walking/Riding on Sidewalk,No Pedestrian Signal,None,M,Unknown,Other Pedalcyclist,,Unknown
ADK7870008,4ee29242-a5ba-431a-a2dd-18d467a68d47,Unknown,N/A,,,Apparently Normal,6/5/1966,N/A,,Possible Injury,On Roadway Not at Crosswalk,Unknown,Unknown,N/A,F,N/A,Pedestrian,1,Dark Clothing
ADJ2360093,a7717d55-5a82-4307-8669-0b95dabeb1ce,Failure to Yield Right of Way,N/A,,,Apparently Normal,4/13/2009,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,Unknown,N/A,M,N/A,Pedestrian,1,N/A
ADJ431003Q,2ab94e48-a130-415c-8b40-1c1653e920c7,Entering Exiting Parked Standing Vehicle,N/A,,,,3/31/1949,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,F,N/A,Pedestrian,,Unknown
ADK729000R,03526ee6-bf1f-4620-9406-6ad17fd4c996,Unknown,N/A,,,Apparently Normal,4/16/1994,N/A,,No Apparent Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,F,N/A,Machine Operator/Rider,,Mixed Clothing
ADK729000R,35edb578-7a2c-4019-831d-f6717662b436,Unknown,N/A,,,Apparently Normal,10/3/2015,N/A,,Suspected Minor Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,M,N/A,Machine Operator/Rider,,Mixed Clothing
ADH141000T,f5992e1e-7df4-44f4-b0a9-108b9820ea0e,In Roadway Improperly,N/A,,,N/A,2/21/1983,N/A,,Suspected Serious Injury,Outside Right of Way,N/A,No Pedestrian Signal,None,F,None Detected,Pedestrian,1,N/A
ADK044001M,a7b40810-0393-4e6d-af8a-3daf8577383d,No Improper Actions,N/A,,,Apparently Normal,10/23/2012,N/A,,Suspected Minor Injury,At Intersection Marked Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,None,F,N/A,Pedestrian,1,Light Clothing
ADI5730005,50c642ee-65a8-4f84-91d0-d3d5344a05a9,No Improper Actions,N/A,,,N/A,12/16/1967,N/A,,No Apparent Injury,Sidewalk,Walking/Riding on Sidewalk,N/A,N/A,M,N/A,Pedestrian,1,Dark Clothing
ADI5730005,d2b6e482-7d1d-4cf5-9815-15bc846b226f,No Improper Actions,N/A,,,N/A,8/30/1974,N/A,,No Apparent Injury,Sidewalk,Walking/Riding on Sidewalk,N/A,N/A,F,N/A,Pedestrian,1,Dark Clothing
ADJ776001D,2c2ad33d-9613-408f-874c-a5d593451e52,In Roadway Improperly,N/A,,,Apparently Normal,9/28/1976,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Walking/Riding Against Traffic,No Pedestrian Signal,N/A,F,N/A,Pedestrian,,Mixed Clothing
ADK7550004,026d2e6f-935e-4d50-b9f4-4faa7cc2ed20,N/A,N/A,,,,12/18/2002,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,N/A,M,N/A,Pedestrian,1,Light Clothing
ADK4470012,6db3c226-41f0-48cc-9180-f38f8461921e,No Improper Actions,N/A,,,,12/3/2007,N/A,,Suspected Serious Injury,In Bikeway,Walking/Riding Against Traffic,No Pedestrian Signal,None,M,None Detected,Bicyclist,,Mixed Clothing
ADK557001M,e753e5ce-b40c-42af-8061-8b7513370d27,In Roadway Improperly,N/A,,,,8/14/1987,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,,Dark Clothing
ADG4930069,7bec0a38-c7a4-4e34-9cdb-3e6048d05274,No Improper Actions,N/A,,,Apparently Normal,5/25/1954,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Standing,No Pedestrian Signal,None,F,N/A,Pedestrian,,Unknown
JC13320005,e5d193a1-7553-4fed-9da9-9a996b79ada6,Unknown,N/A,,,Apparently Normal,1/5/1981,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,N/A,N/A,F,N/A,Pedestrian,1,Unknown
ADK622000R,864ae77f-c345-4d98-90ba-5c963526d6b8,Failure to Yield Right of Way,N/A,,,Apparently Normal,9/27/1986,N/A,,Possible Injury,On Roadway Not at Crosswalk,Standing,No Pedestrian Signal,None,F,None Detected,Pedestrian,,Light Clothing
ADK1100052,dc7922e5-d029-441a-8625-588f9d9767eb,In Roadway Improperly,N/A,,,Apparently Normal,5/26/1984,N/A,,Possible Injury,Outside Right of Way,Walking/Riding Against Traffic,No Pedestrian Signal,Other,M,None Detected,Other,,Dark Clothing
ADK403001C,109b4003-0928-493e-8c43-ab1f6778f497,Inattentive,N/A,,,,1/18/2010,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Getting Off/On Vehicle,No Pedestrian Signal,None,M,N/A,Pedestrian,1,Light Clothing
ADK567001K,8ebd2cb1-6fd3-4c94-ac0e-259dd2801913,N/A,N/A,,,,6/20/1975,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Standing,Unknown,N/A,F,N/A,Pedestrian,,N/A
ADJ302007R,d3a31606-09c2-47dc-8b02-1f28e96253a8,Other,N/A,,,,3/16/1992,N/A,,Suspected Minor Injury,N/A,N/A,N/A,N/A,F,N/A,Pedestrian,,N/A
ADK4310019,7a8fd970-3024-4dc5-8a7d-24bafaebc43e,No Improper Actions,N/A,,,,2/11/2002,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,N/A,N/A,N/A,F,N/A,Pedestrian,,N/A
ADI087007H,8f779f72-6398-4877-8b5b-4db980db0e43,In Roadway Improperly,N/A,,,Apparently Normal,11/4/1958,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,F,N/A,Pedestrian,1,Dark Clothing
ADG4690027,d0e32525-cfe9-43f6-af9f-03404cf44e18,In Roadway Improperly,N/A,,,,7/13/1986,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,No Pedestrian Signal,None,M,N/A,Bicyclist,,Dark Clothing
ADK266005V,8bf0bed2-18c3-4a04-b6ff-959deab08312,Failure to Yield Right of Way,N/A,,,Apparently Normal,6/3/2000,N/A,,Possible Injury,Median,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Bicyclist,1,Dark Clothing
ADK557000Z,5a575ff3-9f02-4c6e-8a26-e2b615677fef,No Improper Actions,N/A,,,Apparently Normal,1/2/1994,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Standing,No Pedestrian Signal,None,F,None Detected,Pedestrian,1,Mixed Clothing
ADK554001C,6e7df4a4-8b49-4c5d-84cf-a8f1fa83cc66,Failure to Yield Right of Way,N/A,,,Apparently Normal,1/16/2013,N/A,,Possible Injury,N/A,Playing,N/A,N/A,M,N/A,Pedestrian,,Light Clothing
ADK3660023,c79c8105-2657-4d7f-8f6e-664504f07526,Other,N/A,,,,4/10/2008,Other,,Possible Injury,On Roadway Not at Crosswalk,Unknown,N/A,None,M,Illegal Drug Present,Pedestrian,,N/A
ADK570000P,ea2b9bdd-78f5-4a6b-aa57-d9fdd1863c81,Dart Dash,N/A,,,Unknown,2/7/1999,N/A,,Suspected Minor Injury,Outside Right of Way,Other,N/A,N/A,M,N/A,Pedestrian,1,Other
ADK0730044,abe3c46d-560b-47af-8ec1-28b85f940cb1,No Improper Actions,N/A,,,,1/25/1993,N/A,,No Apparent Injury,N/A,Other,N/A,N/A,M,N/A,Other,,N/A
ADK677000T,66dbd490-1bfb-4e34-9281-11bd27a866d7,N/A,N/A,,,Apparently Normal,1/7/2012,N/A,,Suspected Minor Injury,Sidewalk,Playing,N/A,None,M,None Detected,Pedestrian,1,Light Clothing
ADK0570049,8ce8145f-1f19-4ee7-8df2-421e0d05fa7c,N/A,N/A,,,N/A,10/17/2008,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,N/A,N/A,M,N/A,Other Pedalcyclist,,N/A
ADK0570049,b7dc56cc-4ddc-416a-b502-5619602b518c,Other,N/A,,,N/A,3/28/2010,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,N/A,N/A,M,N/A,Other Pedalcyclist,,N/A
ADK298001K,1dd9e98f-2084-45e1-876f-6beaff0b8fff,No Improper Actions,N/A,,,Apparently Normal,10/22/1965,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Walking/Riding Against Traffic,No Pedestrian Signal,N/A,M,N/A,Pedestrian,1,Dark Clothing
ADK266003F,1c717949-dcd6-4b90-ae22-57b3c2f15d12,Failure to Yield Right of Way,N/A,,,Apparently Normal,2/23/1999,N/A,,Suspected Minor Injury,Curb,Cross/Enter Not at Intersection,N/A,None,M,None Detected,Pedestrian,1,Dark Clothing
ADK6740007,fc033f48-f467-4a1b-b433-3073601ba81b,In Roadway Improperly,N/A,,,Apparently Normal,2/4/2008,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Playing,N/A,None,M,N/A,Pedestrian,1,Mixed Clothing
ADK6750008,f625893d-73aa-423f-adc8-76255149f2b7,No Improper Actions,N/A,,,Apparently Normal,4/27/1992,N/A,,Suspected Minor Injury,Unknown,Other,Other,None,F,None Detected,Pedestrian,1,Unknown
MTA0376001G,72479337-b02a-4002-8a38-2916729397e0,Inattentive,N/A,,,Had Been Drinking,12/1/1963,N/A,,Suspected Minor Injury,Curb,Standing,N/A,N/A,M,Alcohol Present,Pedestrian,1,Light Clothing
ADK071002Z,ba5a8465-bec7-4703-8ea2-ba3ed7b3d6d9,Unknown,N/A,,,Apparently Normal,9/12/1988,N/A,,Suspected Minor Injury,Unknown,Unknown,Unknown,Unknown,M,N/A,Pedestrian,1,N/A
ADK8330006,b445e95d-6695-454d-a9f6-0048f60b5e6a,Dart Dash,N/A,,,N/A,6/3/1988,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,N/A,F,N/A,Pedestrian,,Dark Clothing
ADJ608007M,8dd92e23-f845-4d57-a317-cdcbc3db1ddf,In Roadway Improperly,N/A,,,,4/25/1988,N/A,,Possible Injury,Shoulder,Cross/Enter Not at Intersection,N/A,N/A,M,N/A,Pedestrian,,Dark Clothing
ADG931002L,d729c250-7ee9-445e-8d26-8c72b5f25d93,In Roadway Improperly,N/A,,,Apparently Normal,2/18/1968,N/A,,Possible Injury,On Roadway Not at Crosswalk,Walking/Riding Against Traffic,Other,None,M,None Detected,Bicyclist,1,Dark Clothing
ADJ977005D,3c2d5fe7-a844-4a7d-bde7-3038f0a0e0b6,No Improper Actions,N/A,,,,8/8/1999,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,N/A,F,N/A,Pedestrian,,Light Clothing
ADK452000L,96a3e7ba-6a8f-440d-865f-a5c579575638,Failure to Obey Traffic Signs Signals or Officer,N/A,,,Apparently Normal,10/3/1954,N/A,,Suspected Minor Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,Disobeyed Pedestrian Signal,None,M,Unknown,Bicyclist,,Light Clothing
ADK5710015,5c7bed86-4317-4a28-bb68-35a014410526,Unknown,N/A,,,Apparently Normal,3/8/2012,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,N/A,F,N/A,Pedestrian,1,Mixed Clothing
ADK570000H,12a41655-3884-43c3-82cb-dba4c01b0750,N/A,N/A,,,Apparently Normal,7/19/2004,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Standing,No Pedestrian Signal,None,M,N/A,Bicyclist,1,Dark Clothing
ADK6220017,bf50f75a-df87-4588-b475-fd3f48e05f8e,Failure to Yield Right of Way,N/A,,,,6/21/2011,N/A,,No Apparent Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,M,N/A,Pedestrian,1,N/A
